,Accuracy,Balanced Acc,Precision,Recall,F1,MCC,Kappa,Specificity,Sensitivity,AUC,CV Mean,CV Std,Errors
xgb,0.999969164565289,0.9924081509942616,0.9999691191024451,0.999969164565289,0.9999690616712089,0.991410804463387,0.9913885667327856,0.9848197343453511,0.9999965676431721,0.9999255790791404,0.9999544808855225,2.6633531711130654e-05,9
Ensemble,0.9999451814494025,0.9961843394453709,0.9999457958605619,0.9999451814494025,0.9999453875459672,0.9849346765852995,0.9849066289584057,0.9924098671726755,0.9999588117180662,0.99806093983466,0.9999324556181346,2.1976161823414218e-05,16
lgb,0.999880084420568,0.9961517320555067,0.9998852594959298,0.999880084420568,0.999881579200301,0.9678656068770791,0.9675625402081778,0.9924098671726755,0.9998935969383377,0.9962681163066158,0.9998443542251738,6.271063049133923e-05,35
