,Accuracy,Balanced Acc,Precision,Recall,F1,MCC,Kappa,Specificity,Sensitivity,AUC,CV Mean,CV Std,Errors
xgb,0.9995142712867001,0.9994042629328921,0.9995142537573913,0.9995142712867001,0.9995142529355476,0.9988840000134532,0.9988839779996523,0.999098530604886,0.9997099952608982,0.9999924833978675,0.9994352622446773,8.898602598239381e-05,101
Ensemble,0.9995142712867001,0.99942016534009,0.9995142564669418,0.9995142712867001,0.9995142606638223,0.998884020874195,0.9988840134960772,0.9991586285645603,0.9996817021156199,0.9999925457266999,0.9994270178392805,7.645587812173385e-05,101
lgb,0.999485416115613,0.999434725897327,0.9994854516778717,0.999485416115613,0.9994854294101895,0.9988178403714655,0.9988178300691402,0.9992938489738273,0.9995756028208266,0.9999734214024069,0.9993857960246963,0.00010297308021027907,107
